Page  Type          URL
   1  Annotation    http://www.sciencedirect.com/science/journal/07365853
   1  Annotation    https://www.elsevier.com/locate/tele
   1  Annotation    http://dx.doi.org/10.1016/j.tele.2017.10.006
   1  Annotation    http://dx.doi.org/10.1016/j.tele.2017.10.006
   1  Annotation    mailto:serkan.ayvaz@eng.bau.edu.tr
   1  Annotation    https://doi.org/10.1016/j.tele.2017.10.006
   1  Annotation    http://crossmark.crossref.org/dialog/?doi=10.1016/j.tele.2017.10.006&domain=pdf
   3  Annotation    http://www.syrianrefugees.eu
   3  Annotation    https://www.usnews.com/news/best-countries/articles/2016-12-19/countries-hosting-the-highest-proportion-of-syrian-refugees
   3  Annotation    http://www.aljazeera.com/news/2017/03/number-syrian-refugees-passes-million-170330132040023.html
   4  Annotation    https://cran.r-project.org/package=twitteR
   4  Annotation    https://cran.r-project.org/package=RSentiment
   5  Annotation    https://github.com/nazaan/Sentiment-Analysis
   5  Annotation    https://cran.r-project.org/package=wordcloud
  11  Annotation    http://dx.doi.org/10.1016/j.tele.2017.10.006
  11  Annotation    http://dx.doi.org/10.1016/j.tele.2017.10.006
  11  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0005
  11  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0005
  11  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0010
  11  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0015
  11  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0025
  11  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0030
  11  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0030
  11  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0035
  11  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0035
  11  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0040
  11  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0040
  12  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0045
  12  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0045
  12  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0050
  12  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0050
  12  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0055
  12  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0055
  12  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0060
  12  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0065
  12  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0065
  12  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0070
  12  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0070
  12  Annotation    http://www.it-ebooks.info
  12  Annotation    http://www.it-ebooks.info
  12  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0085
  12  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0085
  12  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0090
  12  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0095
  12  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0100
  12  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0105
  12  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0110
  12  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h9000
  12  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0115
  12  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0120
  12  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0125
  12  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0125
  12  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0130
  12  Annotation    http://www.cs.cornell.edu/home/llee/omsa/omsa.pdf
  12  Annotation    http://www.cs.cornell.edu/home/llee/omsa/omsa.pdf
  12  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0140
  12  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0140
  12  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0145
  12  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0145
  12  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0150
  12  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0155
  12  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0155
  12  Annotation    http://www.statisticbrain.com/twitter-statistics/
  12  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0165
  12  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0170
  12  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0170
  12  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0180
  12  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0180
  12  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0195
  12  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0205
  12  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0210
  12  Annotation    http://refhub.elsevier.com/S0736-5853(17)30499-9/h0210
